Sentence #,Word,Tag
,طعام,i
Sentence: 57,و,c
,لا,c
,يخجل,c
,أبنائها,i
Sentence: 58,تطاردك,c
,تصميماتها,c
,المتنوعة,c
,و,c
,ثرائها,i
Sentence: 59,الفساد,c
,كان,c
,مستشري,i
Sentence: 60,أن,c
,يكون,c
,الفراغ,c
,ذو,i
Sentence: 61,أن,c
,يكون,c
,المدخل,c
,واسع,i
,قدر,c
Sentence: 62,كن,c
,صادق,i
Sentence: 63,أصبح,c
,صقف,c
,التطلعات,c
,كبير,i
Sentence: 64,تنمية,c
,الاقتصاد,c
,بحيث,c
,يكون,c
,اقتصاد,i
Sentence: 65,و,c
,ألا,c
,يكون,c
,مديرا,c
,روتيني,i
Sentence: 66,و,c
,ألا,c
,يكون,c
,مدير,i
,روتينيا,i
Sentence: 67,و,c
,أن,c
,يكون,c
,المدير,c
,مبدع,i
Sentence: 68,أن,c
,يكون,c
,موضوعي,i
,و,c
,صادق,i
,و,c
,أنيق,i
,و,c
,لبق,i
,و,c
,ذو,i
Sentence: 69,أن,c
,يكون,c
,موضوعي,i
,و,c
,صادق,i
,و,c
,أنيق,i
,و,c
,لبق,i
,و,c
,ذا,c
Sentence: 70,أن,c
,يكون,c
,موضوعيا,c
,و,c
,صادقا,c
,و,c
,أنيقا,c
,و,c
,لبقا,c
,و,c
,ذا,c
Sentence: 71,الزعامة,c
,ليست,c
,تغني,i
,بماض,c
Sentence: 72,كان,c
,ذلك,c
,أمر,i
,محمودا,c
Sentence: 73,كان,c
,ذلك,c
,أمرا,c
,محمود,i
Sentence: 74,لا,c
,تفرح,c
,بكونك,c
,مسيطر,i
Sentence: 75,أن,c
,يكون,c
,المبنى,c
,حديث,c
,الإنشاء,c
,و,c
,قريب,i
,من,c
Sentence: 76,أن,c
,له,c
,تأثير,i
,مضادا,c
Sentence: 77,لا,c
,داع,i
,للقلق,c
Sentence: 78,موضوع,c
,خطير,c
,قدر,c
,يشكل,c
,عائق,i
Sentence: 79,لا,c
,يضير,c
,أي,i
,منا,c
,أن,c
,يخرج,c
Sentence: 80,و,c
,نخصص,c
,لأشيائنا,c
,القيمة,c
,حراس,i
Sentence: 81,بدأ,c
,فريق,c
,آثاري,c
,أعمال,i
,حفرية,c
Sentence: 82,أن,c
,موقع,c
,مستعمل,c
,الإلكتروني,c
,حذف,c
,إعلان,i
,لبيع,c
,الجهاز,c
Sentence: 83,كما,c
,ينكر,c
,عليهم,c
,اكتفاؤهم,i
Sentence: 84,و,c
,تضمنت,c
,تنظيمات,c
,المجمعات,c
,التعليمية,c
,تعريف,i
,بمفهوم,c
Sentence: 85,مما,c
,سيوجد,c
,تنوع,i
Sentence: 86,دخلت,c
,أمريكا,c
,حروب,i
,طاحنة,c
Sentence: 87,ينتظر,c
,فرج,i
,من,c
,عند,c
,الله,c
Sentence: 88,لم,c
,يبعد,c
,فلان,i
,و,c
,لم,c
,يقرب,c
,فلانا,c
Sentence: 89,لم,c
,يبعد,c
,فلانا,c
,و,c
,لم,c
,يقرب,c
,فلان,i
Sentence: 90,و,c
,تحقق,c
,أرباح,i
,متسارعة,c
Sentence: 91,ليعد,c
,ما,c
,حدث,c
,جرم,i
,و,c
,عار,i
,و,c
,إثم,i
,عظيم,i
Sentence: 92,ليعد,c
,ما,c
,حدث,c
,جرما,c
,و,c
,عارا,c
,و,c
,إثما,c
,عظيم,i
Sentence: 93,ليعد,c
,ما,c
,حدث,c
,جرما,c
,و,c
,عارا,c
,و,c
,إثما,c
,عظيما,c
Sentence: 94,حادث,c
,أليم,c
,أصاب,c
,عدد,i
,من,c
Sentence: 95,زيادة,c
,الانخفاض,c
,يسبب,c
,ضعف,i
Sentence: 96,يولي,c
,اهتمام,i
,كبيرا,c
Sentence: 97,يولي,c
,اهتماما,c
,كبير,i
Sentence: 98,و,c
,إعطاؤه,c
,في,c
,الحال,c
,شراب,i
,أو,c
,طعام,i
Sentence: 99,و,c
,إعطاؤه,c
,في,c
,الحال,c
,شراب,i
,أو,c
,طعاما,c
Sentence: 100,و,c
,إعطائه,i
,في,c
,الحال,c
,شرابا,c
,أو,c
,طعام,i
Sentence: 101,حيث,c
,يعيش,c
,من,c
,تبقى,c
,من,c
,اللاجئين,c
,داخله,c
,أوضاع,i
Sentence: 102,يعد,c
,توفير,c
,أمرا,c
,مهم,i
Sentence: 103,يعد,c
,توفير,c
,أمر,i
,مهما,c
Sentence: 104,يمتلكون,c
,عشرون,i
,سهما,c
Sentence: 105,قد,c
,تتحمل,c
,جزء,i
,من,c
Sentence: 106,بصفته,c
,وكيل,i
Sentence: 107,التي,c
,تخدم,c
,عدد,i
,كبيرا,c
Sentence: 108,التي,c
,تخدم,c
,عددا,c
,كبير,i
Sentence: 109,تضم,c
,طبيب,i
,و,c
,ممرضة,c
Sentence: 110,يعالج,c
,أمور,i
,كثيرة,c
Sentence: 111,أراه,c
,في,c
,نظري,c
,حجة,c
,و,c
,تخلص,i
,من,c
,واقع,c
Sentence: 112,فرح,i
,بشفاء,c
,الملك,c
Sentence: 113,ليكون,c
,أمينا,c
,عام,i
,للمجلس,c
Sentence: 114,أن,c
,للطفل,c
,المصاب,c
,بالسكري,c
,حقوقا,c
,محفوظة,c
,و,c
,مدونة,c
,و,c
,متفق,i
,عليها,c
Sentence: 115,ما,c
,الذي,c
,يدفع,c
,هؤلاء,c
,الأطفال,c
,و,c
,الشباب,c
,المولودون,i
Sentence: 116,يخرج,c
,مهزوم,i
Sentence: 117,ما,c
,أقبح,c
,ذو,i
,الوجهين,c
Sentence: 118,نحن,c
,الكوريين,c
,الشماليون,i
Sentence: 119,نحن,c
,الكوريون,i
,الشماليين,c
Sentence: 120,بأن,c
,هؤلاء,c
,الأئمة,c
,و,c
,علمائها,i
Sentence: 121,و,c
,يعظم,c
,بنائها,i
Sentence: 122,و,c
,يقول,c
,بما,i
,معناه,c
Sentence: 123,إن,c
,طائرات,c
,التحالف,c
,استهدفت,c
,تجمعات,c
,و,c
,أوكار,i
,للمسلحين,c
Sentence: 124,حذرت,c
,المقاومة,c
,جميع,c
,و,c
,حلفائهم,i
Sentence: 125,أن,c
,ينبع,c
,من,c
,ذويها,c
,الأقربون,i
Sentence: 126,و,c
,بعد,c
,مضي,c
,عامان,i
Sentence: 127,على,c
,أعراف,c
,الهلاليون,i
Sentence: 128,ما,c
,رأي,c
,رئيس,c
,و,c
,زملاؤه,i
Sentence: 129,من ,c
,خلال,c
,ماجهة,c
,المقاتلين,c
,من,c
,شباب,c
,المقاومة,c
,التهامية,c
,المجهولون,i
Sentence: 130,بزيارة,c
,شخص,c
,ذو,i
Sentence: 131,للشخص,c
,ذو,i
Sentence: 132,على,c
,الشخص,c
,ذو,i
Sentence: 133,يعد,c
,أمرا,c
,غير,c
,مقبولا,i
Sentence: 134,لفتح,c
,تحقيقا,i
Sentence: 135,تسعى,c
,لتحقيق,c
,عائد,c
,استثماري,c
,ذا,i
,جودة,c
Sentence: 136,لأهمية,c
,استنشاق,c
,هواء,c
,نقيا,i
Sentence: 137,لم,c
,يكن,c
,يدر,c
Sentence: 138,نحي,i
,هذه,c
,البادرة,c
Sentence: 139,و,c
,لن,c
,تبق,i
Sentence: 140,هل,c
,من,c
,داع,c
,فأجبه,i
,هل,c
,من,c
,سائل,c
,فأعطيه,c
Sentence: 141,هل,c
,من,c
,داع,c
,فأجيبه,c
,هل,c
,من,c
,سائل,c
,فأعطه,i
Sentence: 142,و,c
,لم,c
,يسه,c
,أو,c
,ينسى,i
Sentence: 143,من,c
,مهامٍ,i
Sentence: 144,إني,c
,لأوجعٌ,i
Sentence: 145,ما,c
,بقيت,c
,بيني,c
,و,c
,بينك,c
,أبحارَ,i
Sentence: 146,فيما,c
,سجل,c
,وزير,c
,العمل,c
,سبع,i
,و,c
,عشرين,c
Sentence: 147,و,c
,من,c
,بحجميهما,c
,الضخمين,c
Sentence: 148,بدوره,i
,أكد,c
,زامل,c
,الركاض,c
,محامي,i
Sentence: 149,أكد,c
,زامل,c
,الركاض,c
,محامي,c
,بدوره,c
Sentence: 150,و,c
,يكاد,c
,الحليب,c
,أن,i
,يصبح,c
Sentence: 151,بلا,i
,شك,i
,إن,c
,الوطن,c
,كله,c
,يستنكر,c
Sentence: 152,إن,c
,الوطن,c
,كله,c
,يستنكر,c
,بلا,c
,شك,c
Sentence: 153,أن,i
,الكاتب,c
,المتميز,c
Sentence: 154,بل,c
,أنه,i
Sentence: 155,و,c
,قال,c
,المواطن,c
,أن,i
,ما,c
,حصل,c
Sentence: 156,و,c
,قال,c
,الفريق,c
,العمرو,c
,أن,i
,الخطة,c
Sentence: 157,و,c
,قيل,c
,أن,i
Sentence: 158,قال,c
,عن,c
,أن,i
Sentence: 159,و,c
,قال,c
,المدير,c
,أننا,i
Sentence: 160,قال,c
,مساعد,c
,أن,i
Sentence: 161,نقولها,c
,بصراحة,c
,أن,i
,إيران,c
Sentence: 162,يقول,c
,أن,i
Sentence: 163,قال,c
,الرئيس,c
,أن,i
,عدد,c
Sentence: 164,فقال,c
,سموه,c
,أن,i
Sentence: 165,قال,c
,أن,i
Sentence: 166,و,c
,قال,c
,أن,i
Sentence: 167,تقول,c
,أنها,i
Sentence: 168,حيث,c
,أنه,i
Sentence: 169,حيث,c
,أن,i
Sentence: 170,حيث,c
,أنهما,i
,شريكان,c
,إستراتيجيان,c
Sentence: 171,حيث,c
,أنه,i
Sentence: 172,بحيث,c
,أن,i
Sentence: 173,بل,c
,أن,i
Sentence: 174,صرح,c
,كبير,c
,إن,i
Sentence: 175,ذكر,c
,أبو,c
,الحسن,c
,إنه,i
,ما,c
,رأى,c
Sentence: 176,أكد,c
,الناطق,c
,إن,i
Sentence: 177,و,c
,بين,c
,الزنيدي,c
,إنه,i
,تم,c
,تحديد,c
Sentence: 178,و,c
,بين,c
,الزنيدي,c
,أنه,c
,و,i
,تم,c
,تحديد,c
Sentence: 179,و,c
,أعلن,c
,الزنيدي,c
,إنه,i
Sentence: 180,و,c
,أضاف,c
,إن,i
Sentence: 181,و,c
,أشار,c
,إلى,c
,إن,i
,ورشة,c
,العمل,c
,موجهة,c
Sentence: 182,و,c
,أضاف,c
,إن,i
Sentence: 183,أعلن,c
,إن,i
,وكالة,c
Sentence: 184,إلا,c
,إن,i
,وضع,c
Sentence: 185,و,c
,أكد,c
,إن,i
Sentence: 186,استطاع,c
,بجسد,c
,رياضي,c
,إن,i
,يخرج,c
,بهذه,c
,الفكرة,c
Sentence: 187,و,c
,يبدو,c
,أن,c
,الأفضل,c
,و,c
,اصطفاؤه,i
,أصبح,c
Sentence: 188,أن,c
,الملك,c
,المؤسس,c
,عبدالعزيز,c
,بن,c
,عبدالرحمن,c
,آل,c
,سعود,c
,و,c
,أبناؤه,i
Sentence: 189,إن,c
,أعضاءها,c
,و,c
,المؤيدين,c
,يقترحون,c
Sentence: 190,و,c
,ذكرت,c
,المصادر,c
,بأن,i
,الحوثيين,c
,و,c
,الموالون,c
Sentence: 191,فالجزالة,c
,و,c
,الوضوح,c
,موهبة,c
,و,c
,ملكة,c
,يفتقدوها,i
,كثير,c
Sentence: 192,كما,c
,يدعون,i
,قادته,c
Sentence: 193,سؤال,c
,وجهنه,i
,لي,c
,إحدى,c
,زميلاتي,c
Sentence: 194,أن,c
,لا,c
,تقل,i
,عدد,c
,المواقف,c
Sentence: 195,و,c
,أجمع,c
,الضيوف,c
,أن,i
,البرنامح,c
Sentence: 196,و,c
,أجمع,c
,الضيوف,c
,على,c
,أن,c
,البرنامح,c
Sentence: 197,فعلى,c
,من,c
,يرغب,c
,استلام,i
,وثائق,c
Sentence: 198,فعلى,c
,من,c
,يرغب,c
,في,c
,استلام,i
,وثائق,c
Sentence: 199,لا,c
,يطمحون,c
,من,c
,خلالها,c
,المضي,i
Sentence: 200,لا,c
,يطمحون,c
,من,c
,خلالها,c
,إلى,c
,المضي,c
Sentence: 201,ثم,c
,التقى,c
,بخريجي,i
,دورة,c
Sentence: 202,و,c
,لا,c
,تخف,c
,بأن,i
,تطرق,c
Sentence: 203,و,c
,اكتشفنا,c
,بأن,i
,الحامي,c
Sentence: 204,و,c
,أضاف,c
,بأن,i
Sentence: 205,و,c
,أضافت,c
,بأنه,i
Sentence: 206,و,c
,أضاف,c
,بأنه,i
Sentence: 207,و,c
,لا,c
,أخفي,c
,بأن,i
Sentence: 208,أوضح,c
,بأن,i
Sentence: 209,مبينا,c
,إلى,i
,أن,c
,الشكاوى,c
Sentence: 210,يعتقدون,c
,بأن,i
Sentence: 211,و,c
,نعتقد,c
,بأن,i
,قسم,c
,المنتجات,c
Sentence: 212,أن,c
,يدركوا,c
,بأنه,i
,شعار,c
Sentence: 213,و,c
,ذكر,c
,بأن,i
Sentence: 214,نحن,c
,نعلم,c
,عن,i
,صعوبة,c
Sentence: 215,فقط,c
,لاحظ,c
,بأنه,i
Sentence: 216,لأنه,c
,يفتقد,c
,للحد,i
Sentence: 217,التي,c
,تنبئ,c
,للسائقين,i
Sentence: 218,شدد,c
,المرشد,c
,بضرورة,i
,التقيد,c
Sentence: 219,شدد,c
,المرشد,c
,على,c
,بضرورة,c
,التقيد,c
Sentence: 220,و,c
,حث,c
,المقدم,c
,اللحيدان,c
,المواطنين,c
,للاستفادة,i
Sentence: 221,و,c
,حث,c
,المقدم,c
,اللحيدان,c
,المواطنين,c
,على,c
,الاستفادة,c
Sentence: 222,أنهم,c
,خرجوا,c
,على,i
,ملة,c
,الإسلام,c
Sentence: 223,فطام,c
,المجتمع,c
,من,i
,شرب,c
Sentence: 224,فما,c
,بالنا,c
,نقول,c
,على,i
,قيام,c
,ساعة,c
,من,c
,الليل,c
Sentence: 225,و,c
,اتفق,c
,إلى,i
,أن,c
Sentence: 226,و,c
,يلتقوا,c
,على,i
,قيادتهم,c
Sentence: 227,عن,c
,رغبتها,c
,باستئجار,i
Sentence: 228,عن,c
,رغبتها,c
,في,c
,باستئجار,c
Sentence: 229,و,c
,يرغب,c
,بتأجيره,i
Sentence: 230,و,c
,يرغب,c
,في,c
,تأجيره,c
Sentence: 231,يرغب,c
,بترشيح,i
Sentence: 232,يرغب,c
,في,c
,ترشيح,c
Sentence: 233,تورطوا,c
,بدعم,i
Sentence: 234,تورطوا,c
,في,c
,دعم,c
Sentence: 235,يرغبون,c
,في,c
,التأكد,c
,على,i
,أن,c
,الولايات,c
Sentence: 236,لا,c
,شك,c
,بأن,i
,شهر,c
,رمضان,c
Sentence: 237,لا,c
,شك,c
,في,c
,أن,c
,شهر,c
,رمضان,c
Sentence: 238,و,c
,تشير,c
,بأنه,i
Sentence: 239,و,c
,تشير,c
,إلى,c
,أنه,c
Sentence: 240,على,c
,إضفاء,c
,الألوان,c
,إلى,i
,غرف,c
,المنزل,c
Sentence: 241,إن,c
,ما,c
,ورد,c
,في,c
,الخبر,c
,عار,c
,عن,i
,الحقيقة,c
Sentence: 242,ندد,i
,و,c
,استنكر,c
,عدد,c
Sentence: 243,و,c
,استمروا,c
,و,c
,راهنوا,i
,الأعداء,c
,و,c
,الحاقدون,c
Sentence: 244,و,c
,استمروا,c
,و,c
,راهن,c
,الأعداء,c
,و,c
,الحاقدين,i
Sentence: 245,كونها,i
,تدير,c
Sentence: 246,كونهم,i
,جميعا,c
Sentence: 247,عدا,c
,عن,i
,رشى,c
Sentence: 248,لا,c
,يفكرون,c
,سوى,i
,في,i
,الشقاء,c
Sentence: 249,لم,c
,يقر,c
,سوى,i
,في,i
,مباراة,c
Sentence: 250,لا,c
,يفكرون,c
,في,c
,شيء,c
,سوى,c
,الشقاء,c
Sentence: 251,لم,c
,يقر,c
,في,c
,شيء,c
,سوى,c
,مباراة,c
Sentence: 252,و,c
,لكننا,c
,نحن,c
,الآن,c
,أقوى,c
,و,c
,أكثر,c
,وضوح,i
,في,c
,الرؤية,c
Sentence: 253,فلم,c
,يتسنى,i
Sentence: 254,لم,c
,تنطلي,i
Sentence: 255,حتى,c
,يحققون,i
,مآربهم,c
Sentence: 256,ليتحدوا,c
,و,c
,يشكلوا,c
,و,c
,يكونون,i
Sentence: 257,و,c
,لم,c
,تحقق,c
,أهدافها,c
,لتبق,i
Sentence: 258,لم,c
,و,i
,لن,i
,يفهموا,c
Sentence: 259,لم,c
,يفهموا,c
,و,c
,لن,c
,يفهموا,c
Sentence: 260,لم,c
,و,i
,لن,i
,نفهم,c
Sentence: 261,لم,c
,نفهم,c
,و,c
,لن,c
,نفهم,c
Sentence: 262,و,c
,إذا,c
,تجاوزنا,c
,التاريخ,c
,نجد,i
Sentence: 263,و,c
,أما,c
,المشكلات,c
,الاقتصادية,c
,و,c
,الميزانية,c
,الخالية,c
,يقف,i
,الرئيس,c
Sentence: 264,أما,c
,في,c
,الباب,c
,الثالث,c
,و,c
,الأخير,c
,ناقش,i
,الكاتب,c
Sentence: 265,أما,c
,موظفو,c
,القطاع,c
,الحكومي,c
,لم,i
,تفكر,c
Sentence: 266,إذا,i
,استهلاك,c
,البنزين,c
,و,c
,كهرباء,c
,القطاع,c
,السكني,c
,يمثل,c
Sentence: 267,متى,c
,من,i
,تسلم,c
,إدارة,c
,الفريق,c
Sentence: 268,موجها,c
,بذات,i
,الوقت,c
Sentence: 269,موجها,c
,في,c
,الوقت,c
,نفسه,c
Sentence: 270,التي,c
,يحتفى,c
,بها,i
,بكوكبة,c
Sentence: 271,فما,c
,بالنا,c
,نقول,c
,على,c
,قيام,c
,الساعة,c
,من,c
,الليل,c
,بأننا,i
Sentence: 272,نقول,c
,لكل,c
,من,c
,يريد,c
,المحاولة,c
,بأننا,i
,سنكون,c
Sentence: 273,و,c
,ذكرت,c
,المصادر,c
,بأن,i
,الحوثيين,c
Sentence: 274,الجدير,c
,بالذكر,c
,بأن,i
Sentence: 275,أضحت,c
,بالراسخة,i
Sentence: 276,و,c
,عدم,c
,إرسال,c
,الطالب,c
,المصاب,c
,بمرض,c
,السكر,c
,إلى,c
,غرفة,c
,التمريض,c
,لوحده,i
Sentence: 277,جاء,c
,لوحده,i
Sentence: 278,بساعتين,i
,عمل,c
Sentence: 279,مائتين,i
,سنة,c
Sentence: 280,من,c
,ممثلين,i
,البعثات,c
Sentence: 281,لا,c
,يستطيعون,c
,التمييز,i
,الصحيح,c
,من,c
,الخطأ,c
Sentence: 282,لا,c
,يستطيعون,c
,تمييز,c
,الصح,i
,من,c
,الخطأ,c
Sentence: 283,نعتقد,c
,أن,c
,الاتفاق,c
,النووي,c
,في,c
,مصلحة,c
,ليس,i
,فقط,i
,الولايات,c
,المتحدة,c
Sentence: 284,نعتقد,c
,أن,c
,الاتفاق,c
,النووي,c
,ليس,c
,فقط,c
,في,c
,مصلحة,c
,الولايات,c
,المتحدة,c
Sentence: 285,أبرز,c
,و,i
,أهم,i
,الأماني,c
Sentence: 286,سياسة,c
,و,i
,سلوك,i
,معاوية,c
Sentence: 287,بتجديد,c
,و,i
,إبراز,i
,هذه,c
,المناسبة,c
Sentence: 288,أبرز,c
,الأماني,c
,و,c
,أهمها,c
Sentence: 289,سياسة,c
,معاوية,c
,و,c
,سلوكه,c
Sentence: 290,بتجديد,c
,هذه,c
,المناسبة,c
,و,c
,إبرازها,c
Sentence: 291,مدير,i
,عام,i
,الإدارة,i
Sentence: 292,المدير,c
,العام,c
,للإدارة,c
Sentence: 293,مدير,c
,الإدارة,c
,العام,c
Sentence: 294,مدير,i
,عام,i
,الشؤون,i
,الصحية,i
Sentence: 295,المدير,c
,العام,c
,للشؤون,c
,الصحية,c
Sentence: 296,مدير,c
,الشؤون,c
,الصحية,c
,العام,c
Sentence: 297,مدير,i
,عام,i
,الدفاع,i
,المدني,i
Sentence: 298,المدير,c
,العام,c
,للدفاع,c
,المدني,c
Sentence: 299,مدير,c
,الدفاع,c
,المدني,c
,العام,c
Sentence: 300,مدير,i
,عام,i
,الإدارة,i
,العامة,i
Sentence: 301,المدير,c
,العام,c
,للإدارة,c
,العامة,c
Sentence: 302,مدير,c
,الإدارة,c
,العامة,c
,العام,c
Sentence: 303,أعلن,c
,مدير,i
,عام,i
,الجوازات,i
Sentence: 304,أعلن,c
,المدير,c
,العام,c
,للجوازات,c
Sentence: 305,أعلن,c
,مدير,c
,الجوازات,c
,العام,c
Sentence: 306,قنصل,i
,عام,i
,دولة,i
,باكستان,i
Sentence: 307,قنصل,c
,دولة,c
,الباكستان,c
,العام,c
Sentence: 308,القنصل,c
,العام,c
,لدولة,c
,باكستان,c
Sentence: 309,مدير,i
,عام,i
,المشروع,i
Sentence: 310,المدير,c
,العام,c
,للمشروع,c
Sentence: 311,مدير,c
,المشروع,c
,العام,c
Sentence: 312,من,c
,عمر,c
,ثلاث,i
,و,c
,تسعة,c
,أعوام,c
Sentence: 313,من,c
,عمر,c
,ثلاثة,c
,و,c
,تسع,i
,أعوام,c
Sentence: 314,على,c
,مستوى,c
,8,c
,دولار,i
Sentence: 315,خمسة,i
,مناطق,c
Sentence: 316,لمدة,c
,ثلاثة,i
,سنوات,c
Sentence: 317,و,c
,سيكون,c
,موعد,c
,التدريب,c
,ثلاث,i
,أيام,c
Sentence: 318,عن,c
,ثلاث,i
,أشهر,c
Sentence: 319,ثلاث,i
,أجزاء,c
Sentence: 320,خمسة,i
,مرات,c
,يوميا,c
Sentence: 321,بواقع,c
,خمس,c
,عشر,i
,تغريدة,c
Sentence: 322,الساعة,c
,الحادية,c
,عشر,i
Sentence: 323,الابتدائية,c
,الثانية,c
,عشر,i
Sentence: 324,دعوة,c
,لاجتماع,c
,الجمعية,c
,العامة,c
,العادية,c
,السادسة,c
,عشر,i
Sentence: 325,في,c
,جولته,c
,الخامسة,c
,عشر,i
Sentence: 326,18,c
,مواقف,i
Sentence: 327,إلى,c
,55,c
,دولار,i
Sentence: 328,22,c
,مواطن,i
Sentence: 329,و,c
,يبلغ,c
,متوسط,c
,نسبة,c
,تركيز,c
,الملح,c
,نحو,c
,35,c
,ألف,i
Sentence: 330,40,c
,متر,i
Sentence: 331,ما,c
,يقارب,c
,العشرين,c
,عام,i
Sentence: 332,تسعة,c
,وثلاثون,c
,ريال,i
Sentence: 333,كفاعل,i
,أساس,i
Sentence: 334,فاعلا,c
,أساسيا,c
Sentence: 335,الجوهرة,c
,بن,i
Sentence: 336,يجلس,c
,في,c
,مقعد,i
,الأمامي,c
,للراكب,c
Sentence: 337,الفريق,c
,أول,i
Sentence: 338,في,c
,البحرين,c
,و,c
,لبنان,c
,ثم,i
,سورية,c
,و,c
,اليمن,c
Sentence: 339,مثل,c
,السكر,c
,الضغط,i
,و,c
,السرطان,c
Sentence: 340,في,c
,الشرب,c
,في,i
,الأكل,c
,في,i
,نفع,c
,الناس,c
,في,i
,التلطف,c
,في,i
